Review,Sentiment
"Posted: 28 JuneYou know how sometimes you're with the lads, then you tell them you're off to bed but you're actually playing that single-player game you're addicted to? This is that game.",-0.30000000000000004
"Posted: 3 AugustMy wife said if this review gets 100 likes, I can name our son Dave.",0.5
"Posted: 4 JuneEarly Access ReviewWonderful game, I just wish they had asked before using me as a reference photo for the main character.",-0.11666666666666668
Posted: 29 JuneI stopped playing Zelda to play this,0.0
"Posted: 19 JuneEarly Access ReviewWhat an incredible game. Beautiful art style, addictive gameplay and relaxing music. Combining the diving/exploration component with the restaurant management works wonders. The devs are amazing and genuinely care about their game. Cannot recommend it enough.Edit: 1.0 is epic",0.25625000000000003
"Posted: 21 FebruaryEarly Access ReviewReminds me of mid 2000s flash games. You got a cooking game, a diving/exploration game and you get to upgrade your stuff as you go along. If this were on ArmorGames back in the day, my parents would never have gotten me to stop.",-0.2
"Posted: 25 JulyIt creates an addiction at the level of Cult Of The Lamb and Loop Hero. I think I will continue to give my hours for a long time I definitely recommend it. Also, after starting this game, I bought fins and mask and started diving.",-0.1125
"Posted: 11 AugustI’m a game developer and I’m overwhelmed with how toxic the industry has become in the last 10 years due to greed and venture capital. Games have transformed from actual toys to play and have fun to machines for juicing and parasiting on users’ addictions and cravings.In that context of our society, Dave The Diver is an amazing relief and gives me back my inner child passion to get back to making videogames that really are fun to play, to make an art form with love, to make content just for the sake of telling a good interactive story, to give a nice moment to people.This game is a 10/10. It never stops giving you new content and new core mechanics even in the late game. The game has lots of minigames to solve, and when you thought you’ve seen and perfected all the core mechanics, suddenly a new map, town, or challenge is unlocked with completely new mechanics to learn and master. It doesn’t recycle too much, it doesn’t take the easy path, its development demonstrates what is really possible when you make something with love and real effort and not just for an easy cash grab.I want more games like this. I want to make games like this. Not a single lootbox in sight. Not a single child becoming a gambler as an adult.",0.13965302374393282
Posted: 1 OctoberGod Tier Game:- Non-Stressful Restaurant Sim- Fishing- Boss Battles- Farming- Pirates- Collectible Cards- Collectible Creatures- Tamogatchi Sim- Running/Jump Game- Weeb Gunsmith- Samurai Mermaids- Mechs- Feedable cats and nameable chickensThis game has EVERYTHING. BUY IT AT FULL PRICE. We need a Dave the Diver movie with Jack Black as Dave.,-0.288095238095238
"Posted: 3 MarchEarly Access ReviewThe trailers do a good job of explaining what the core gameplay loop will be. Dive into the ocean collecting fish, turn that fish into sushi to use at the restaurant where customers pay you money, turn the money into upgrades, go back to diving with better gear, rinse and repeat.What may not come across quite as strongly is how well paced and soothing everything is. Diving around for fish does have moments of punctuated panic where you're trying to expertly dodge sharks, or land shots with your harpoon gun to reel in that particularly agile fish you've been hunting; but the vast majority of the time is simply exploring the ever-changing cove and gently floating alongside the local marine life.The jumps between the panic and the breezy bits is really well done. The restaurant management makes for a nice change of pace between your dives and the additional layers that come later (I'll refrain from mentioning the other things you'll visit/ manage later in the game) mean that even after 16 hours; I was still finding new directions that the game would go in.There's not a lot more to say than that. The animations are delightful, the characters and the dialogue is funny, and the gameplay hits the note between panic and relaxation really well. I'd heartily recommend Dave the Diver and I'm looking forward to where else this game goes once it's out of early access.",0.1672878787878788
